learner_id,resource_id,views,completion_rate,time_on_task_min,quiz_score,liked,implicit_score
U011,R006,1,0.755,5.0,71.0,1,0.4189
U011,R102,5,0.762,32.0,55.0,1,0.7669
U011,R034,2,0.577,24.0,81.0,0,0.5335
U011,R064,4,0.495,13.0,62.0,0,0.575
U011,R086,3,0.713,5.0,72.0,0,0.5504
U011,R019,2,0.987,53.0,54.0,0,0.6875
U011,R050,4,0.442,11.0,81.0,0,0.5925
U012,R088,4,0.845,32.0,65.0,1,0.7376
U012,R001,2,0.744,23.0,73.0,0,0.5556
U012,R099,5,0.753,12.0,58.0,1,0.6979
U012,R057,3,0.493,26.0,66.0,0,0.5598
U012,R084,1,0.443,18.0,75.0,0,0.3962
U012,R032,4,0.685,26.0,78.0,1,0.7018
U012,R011,5,0.729,12.0,67.0,1,0.7099
U012,R100,5,0.763,16.0,79.0,1,0.7569
U012,R045,2,0.766,22.0,70.0,1,0.5515
U012,R065,2,0.63,7.0,74.0,0,0.471
U012,R087,3,0.831,34.0,63.0,0,0.6674
U012,R089,4,0.732,23.0,53.0,1,0.6526
U012,R043,2,0.611,17.0,70.0,0,0.4946
U012,R061,1,0.658,32.0,82.0,0,0.5149
U013,R041,5,0.516,29.0,81.0,0,0.7465
U013,R088,3,0.497,14.0,57.0,0,0.4992
U013,R017,3,0.52,9.0,73.0,0,0.5187
U013,R078,4,0.583,22.0,81.0,0,0.6678
U013,R114,1,0.677,6.0,77.0,0,0.4151
U013,R038,5,0.688,21.0,74.0,1,0.7464
U013,R105,2,0.628,4.0,69.0,0,0.4495
U013,R112,2,0.602,28.0,80.0,0,0.5523
U013,R115,2,0.797,27.0,79.0,1,0.5954
U013,R037,3,0.652,14.0,77.0,0,0.5779
U013,R084,1,0.64,26.0,84.0,0,0.4925
U013,R120,5,0.637,16.0,64.0,0,0.6954
U013,R040,1,0.392,30.0,78.0,0,0.4331
U013,R094,2,0.616,14.0,64.0,0,0.4729
U013,R061,1,0.423,17.0,76.0,0,0.3896
U013,R086,2,0.394,9.0,71.0,0,0.4132
U013,R106,5,0.511,10.0,71.0,0,0.6561
U013,R050,4,0.451,10.0,72.0,0,0.5731
U014,R023,2,0.543,14.0,44.0,0,0.4147
U014,R035,2,0.537,5.0,44.0,0,0.3804
U014,R080,5,0.556,16.0,61.0,0,0.6692
U014,R065,5,0.706,4.0,40.0,1,0.621
U014,R073,4,0.598,19.0,46.0,0,0.5906
U014,R047,1,0.33,7.0,39.0,0,0.256
U014,R072,2,0.663,35.0,49.0,0,0.531
U014,R024,3,0.5,27.0,47.0,0,0.5272
U014,R050,4,0.857,29.0,65.0,1,0.7297
U014,R094,4,0.444,5.0,56.0,0,0.5212
U014,R029,4,0.733,47.0,54.0,1,0.7422
U014,R042,5,0.46,24.0,46.0,0,0.6443
U014,R061,2,0.65,27.0,52.0,0,0.5047
U014,R067,2,0.818,46.0,44.0,0,0.5998
U014,R025,4,0.393,13.0,42.0,0,0.5095
U014,R041,3,0.789,31.0,68.0,1,0.656
U015,R018,3,0.478,17.0,62.0,0,0.5153
U015,R069,2,0.392,8.0,52.0,0,0.3711
U015,R040,5,0.611,30.0,36.0,0,0.6838
U015,R032,5,0.564,27.0,37.0,0,0.6632
U015,R097,2,0.247,4.0,44.0,0,0.3043
U015,R108,3,0.507,4.0,44.0,0,0.4393
U015,R106,1,0.866,28.0,62.0,0,0.5123
U015,R091,1,0.402,4.0,46.0,0,0.277
U015,R026,5,0.613,12.0,46.0,0,0.6389
U015,R089,2,0.741,13.0,52.0,0,0.4765
U015,R119,2,0.67,35.0,54.0,0,0.5428
U015,R039,4,0.563,17.0,60.0,0,0.6026
U015,R095,4,0.378,4.0,40.0,0,0.469
U015,R057,4,0.635,28.0,47.0,0,0.6346
U015,R090,3,0.695,35.0,62.0,0,0.635
U015,R099,1,0.282,4.0,50.0,0,0.255
U015,R053,5,0.584,20.0,58.0,0,0.6847
U016,R095,1,0.797,35.0,67.0,1,0.5305
U016,R013,2,0.358,4.0,65.0,0,0.374
U016,R084,2,0.447,16.0,75.0,0,0.4599
U016,R063,4,0.752,30.0,59.0,1,0.6951
U016,R046,4,0.558,40.0,69.0,0,0.703
U016,R017,1,0.473,7.0,56.0,0,0.3257
U016,R115,2,0.825,29.0,79.0,1,0.6097
U016,R057,2,0.465,24.0,76.0,0,0.4955
U016,R079,5,0.861,46.0,51.0,1,0.8345
U016,R053,3,0.596,18.0,75.0,0,0.5745
U016,R064,3,0.741,20.0,62.0,0,0.592
U017,R038,4,0.458,11.0,53.0,0,0.5405
U017,R072,3,0.499,18.0,71.0,0,0.5422
U017,R020,1,0.389,15.0,61.0,0,0.3438
U017,R089,4,0.701,12.0,56.0,1,0.6109
U017,R056,1,0.582,26.0,49.0,0,0.408
U017,R115,3,0.77,18.0,57.0,0,0.582
U017,R070,5,0.588,21.0,67.0,0,0.7074
U017,R063,3,0.505,5.0,56.0,0,0.4664
U017,R087,1,0.571,5.0,58.0,0,0.3469
U018,R034,1,0.484,31.0,71.0,0,0.4457
U018,R057,3,0.501,27.0,78.0,0,0.5894
U018,R099,5,0.409,14.0,85.0,0,0.6732
U018,R086,2,0.148,4.0,55.0,0,0.3015
U018,R098,2,0.4,17.0,60.0,0,0.4218
U018,R067,5,0.696,36.0,80.0,1,0.8149
U018,R097,5,0.601,19.0,70.0,0,0.7093
U018,R043,5,0.525,14.0,58.0,0,0.6482
U018,R074,2,0.572,29.0,93.0,0,0.5745
U018,R101,4,0.569,23.0,83.0,0,0.6719
U018,R050,2,0.506,9.0,75.0,0,0.4492
U018,R060,1,0.602,12.0,72.0,0,0.4081
U018,R079,3,0.513,24.0,76.0,0,0.5775
U018,R094,3,0.726,17.0,81.0,0,0.6153
U018,R045,2,0.823,31.0,66.0,1,0.5905
U018,R059,4,0.653,9.0,89.0,1,0.654
U019,R012,3,0.562,14.0,50.0,0,0.5014
U019,R105,1,0.506,5.0,41.0,0,0.2967
U019,R109,4,0.717,34.0,56.0,1,0.6949
U019,R025,1,0.69,24.0,64.0,0,0.4578
U019,R021,4,0.437,14.0,61.0,0,0.5622
U019,R103,2,0.507,19.0,70.0,0,0.4758
U019,R069,4,0.548,9.0,56.0,0,0.5617
U019,R087,1,0.428,12.0,66.0,0,0.3526
U019,R067,2,0.54,20.0,73.0,0,0.4937
U019,R074,5,0.537,13.0,71.0,0,0.6735
U020,R081,2,0.641,10.0,43.0,0,0.4226
U020,R049,2,0.259,17.0,60.0,0,0.3866
U020,R008,5,0.551,4.0,61.0,0,0.6243
U020,R087,3,0.564,13.0,56.0,0,0.5103
U020,R024,5,0.714,43.0,49.0,1,0.7829
U020,R100,3,0.754,24.0,53.0,0,0.5918
U020,R072,5,0.43,22.0,62.0,0,0.6615
U020,R012,4,0.628,42.0,65.0,0,0.7197
U020,R023,2,0.521,20.0,53.0,0,0.449
U020,R092,1,0.618,29.0,52.0,0,0.434
U020,R077,2,0.507,13.0,60.0,0,0.434
U020,R095,3,0.608,26.0,54.0,0,0.5645
U020,R089,3,0.64,16.0,57.0,0,0.5422
U020,R009,5,0.633,16.0,61.0,0,0.6884
U020,R062,3,0.641,30.0,54.0,0,0.5873
U020,R113,2,0.608,19.0,51.0,0,0.4631
U020,R041,2,0.669,31.0,57.0,0,0.534
U020,R069,1,0.46,7.0,55.0,0,0.3205
U020,R086,3,0.653,9.0,56.0,0,0.518
U020,R096,1,0.598,21.0,43.0,0,0.3819
U020,R032,1,0.539,10.0,54.0,0,0.3491
U021,R084,4,0.436,19.0,100.0,0,0.6581
U021,R005,3,0.585,20.0,87.0,0,0.603
U021,R098,1,0.561,21.0,85.0,0,0.4566
U021,R020,1,0.719,13.0,81.0,0,0.459
U021,R056,3,0.347,10.0,90.0,0,0.5131
U021,R013,2,0.695,13.0,96.0,0,0.553
U021,R009,3,0.646,20.0,98.0,0,0.6402
U021,R099,4,0.897,18.0,100.0,1,0.7697
U021,R017,4,0.671,5.0,79.0,1,0.6239
U021,R027,1,0.65,9.0,82.0,0,0.4292
U021,R082,4,0.637,36.0,83.0,0,0.7362
U021,R085,1,0.699,11.0,89.0,0,0.4628
U021,R016,1,0.835,23.0,92.0,1,0.5464
U021,R024,4,0.642,24.0,98.0,0,0.7238
U022,R091,1,0.588,18.0,66.0,0,0.4145
U022,R081,5,0.505,11.0,75.0,0,0.6662
U022,R041,4,0.801,36.0,71.0,1,0.7532
U022,R060,3,0.574,9.0,57.0,0,0.5002
U022,R053,5,0.695,25.0,79.0,1,0.7727
U022,R066,5,0.54,9.0,55.0,0,0.6277
U022,R050,1,0.622,16.0,75.0,0,0.4337
U022,R101,1,0.575,10.0,75.0,0,0.4001
U022,R090,2,0.711,40.0,72.0,0,0.6072
U022,R073,3,0.856,29.0,76.0,1,0.6815
U022,R046,5,0.593,26.0,70.0,0,0.7328
U022,R063,1,0.51,13.0,72.0,0,0.3888
U022,R114,4,0.604,8.0,74.0,0,0.6081
U022,R052,5,1.0,55.0,70.0,1,0.94
U022,R070,4,0.591,20.0,79.0,0,0.6585
U022,R057,1,0.46,4.0,60.0,0,0.3195
U022,R065,1,0.48,11.0,72.0,0,0.374
U022,R074,3,0.752,17.0,75.0,1,0.6098
U022,R104,3,0.71,22.0,74.0,0,0.6155
U022,R055,1,0.727,14.0,67.0,0,0.4367
U023,R012,3,0.483,16.0,61.0,0,0.5109
U023,R103,2,0.546,23.0,70.0,0,0.5001
U023,R108,3,0.332,5.0,53.0,0,0.4172
U023,R037,2,0.52,4.0,65.0,0,0.4145
U023,R014,2,0.662,4.0,77.0,0,0.474
U023,R100,5,0.453,19.0,75.0,0,0.6823
U023,R052,4,0.517,21.0,61.0,0,0.6076
U023,R096,1,0.791,31.0,79.0,1,0.5385
U023,R051,4,0.618,29.0,60.0,0,0.66
U023,R062,2,0.449,14.0,65.0,0,0.4332
U024,R013,2,0.644,27.0,52.0,0,0.5032
U024,R054,3,0.683,12.0,64.0,0,0.5524
U024,R038,5,0.605,15.0,60.0,0,0.6758
U024,R027,2,0.782,22.0,72.0,1,0.5595
U024,R080,3,0.657,13.0,50.0,0,0.5215
U024,R113,5,0.56,21.0,59.0,0,0.6844
U024,R089,4,0.637,21.0,54.0,0,0.6236
U024,R068,3,0.374,24.0,59.0,0,0.5088
U024,R017,4,0.475,12.0,62.0,0,0.5664
U024,R062,3,0.635,27.0,33.0,0,0.5329
U024,R117,3,0.626,22.0,51.0,0,0.5485
U024,R034,1,0.777,24.0,73.0,1,0.4975
U024,R070,4,0.706,16.0,44.0,1,0.6027
U024,R053,5,0.485,17.0,59.0,0,0.6511
U024,R067,2,0.675,32.0,62.0,0,0.5491
U024,R088,5,0.57,36.0,48.0,0,0.7194
U024,R046,5,0.745,34.0,66.0,1,0.7919
U025,R093,1,0.593,25.0,74.0,0,0.4572
U025,R082,3,0.594,30.0,70.0,0,0.6076
U025,R008,1,0.449,10.0,71.0,0,0.3606
U025,R033,3,0.551,17.0,64.0,0,0.5376
U025,R013,2,0.66,13.0,83.0,0,0.5183
U025,R055,2,0.766,20.0,70.0,1,0.5442
U025,R010,2,0.591,31.0,77.0,0,0.5545
U025,R111,1,0.605,19.0,84.0,0,0.4583
U025,R088,5,0.324,6.0,65.0,0,0.5828
U025,R078,1,0.825,22.0,68.0,1,0.4922
U025,R009,2,0.338,14.0,56.0,0,0.3874
U025,R038,4,0.677,15.0,59.0,1,0.6218
U025,R112,5,0.507,24.0,64.0,0,0.692
U025,R011,4,0.573,10.0,70.0,0,0.5996
U025,R063,1,0.373,13.0,73.0,0,0.3565
U025,R030,3,0.71,13.0,72.0,0,0.5788
U025,R045,1,0.574,13.0,63.0,0,0.3868
U025,R079,4,0.517,32.0,61.0,0,0.6476
U025,R027,5,0.747,4.0,67.0,1,0.6853
U026,R086,3,0.67,11.0,77.0,0,0.5715
U026,R001,5,0.728,15.0,82.0,1,0.7505
U026,R077,3,0.458,14.0,61.0,0,0.4974
U026,R038,5,0.721,15.0,64.0,1,0.7128
U026,R021,4,0.341,10.0,62.0,0,0.5256
U026,R013,4,0.446,12.0,65.0,0,0.5651
U026,R100,3,0.751,27.0,87.0,1,0.6699
U026,R034,1,0.818,29.0,72.0,1,0.524
U026,R062,1,0.747,26.0,83.0,0,0.5173
U026,R032,5,0.568,31.0,69.0,0,0.7427
U026,R047,4,0.537,4.0,72.0,0,0.5728
U027,R004,4,0.699,4.0,57.0,1,0.5833
U027,R067,1,0.544,30.0,56.0,0,0.4271
U027,R001,2,0.545,29.0,62.0,0,0.5057
U027,R090,4,0.739,46.0,67.0,1,0.766
U027,R039,3,0.399,4.0,56.0,0,0.4363
U027,R115,3,0.689,13.0,54.0,0,0.5375
U027,R052,2,0.851,34.0,62.0,0,0.6004
U027,R049,3,0.322,17.0,55.0,0,0.4623
U027,R074,2,0.592,16.0,63.0,0,0.4722
U028,R081,3,0.46,4.0,77.0,0,0.4935
U028,R008,4,0.358,8.0,93.0,0,0.5846
U028,R059,5,0.604,4.0,69.0,0,0.6535
U028,R047,2,0.566,10.0,76.0,0,0.4699
U028,R031,4,0.595,16.0,77.0,0,0.6409
U028,R025,3,0.54,18.0,85.0,0,0.5805
U028,R113,3,0.449,12.0,83.0,0,0.5319
U028,R043,2,0.629,29.0,75.0,0,0.5527
U028,R055,3,0.87,23.0,70.0,1,0.6511
U028,R108,3,0.549,19.0,51.0,0,0.5183
U028,R039,5,0.599,12.0,71.0,0,0.6854
U028,R051,3,0.606,24.0,78.0,0,0.6048
U029,R106,2,0.658,29.0,65.0,0,0.54
U029,R097,5,0.506,20.0,68.0,0,0.6852
U029,R012,5,0.476,15.0,63.0,0,0.6495
U029,R056,4,0.624,29.0,60.0,0,0.6615
U029,R044,4,0.56,25.0,54.0,0,0.6189
U029,R078,1,0.646,29.0,88.0,0,0.513
U029,R023,1,0.644,27.0,61.0,0,0.4512
U029,R113,5,0.821,30.0,63.0,1,0.7903
U029,R102,4,0.644,20.0,66.0,0,0.6457
U029,R092,2,0.63,25.0,73.0,0,0.5344
U029,R014,2,0.55,11.0,74.0,0,0.4655
U029,R057,4,0.606,18.0,76.0,0,0.649
U029,R119,2,0.377,16.0,71.0,0,0.4344
U029,R040,3,0.505,23.0,66.0,0,0.5519
U029,R083,2,0.686,12.0,61.0,0,0.4771
U029,R047,1,0.439,11.0,67.0,0,0.3538
U029,R069,3,0.718,17.0,87.0,0,0.6253
U029,R096,4,0.796,37.0,71.0,1,0.7555
U029,R116,5,0.633,17.0,60.0,0,0.6901
U029,R046,2,0.631,36.0,73.0,0,0.5747
U030,R021,5,0.572,18.0,75.0,0,0.7085
U030,R053,2,0.698,22.0,62.0,0,0.5185
U030,R098,3,0.54,12.0,59.0,0,0.5066
U030,R074,4,0.736,41.0,74.0,1,0.7611
U030,R087,2,0.832,20.0,73.0,1,0.5667
U030,R065,5,0.666,4.0,62.0,1,0.655
U030,R086,4,0.434,4.0,71.0,0,0.545
U030,R022,2,0.544,20.0,71.0,0,0.4907
U030,R067,4,0.642,28.0,68.0,0,0.6783
U030,R105,1,0.716,15.0,58.0,0,0.4195
U030,R041,1,0.543,26.0,68.0,0,0.4363
U030,R063,1,0.476,20.0,59.0,0,0.3797
U030,R072,3,0.834,36.0,67.0,1,0.6834
U030,R082,2,0.729,39.0,79.0,0,0.6221
U030,R025,3,0.771,21.0,68.0,1,0.6151
U030,R061,5,0.705,25.0,70.0,1,0.7572
U031,R012,5,0.366,16.0,70.0,0,0.6397
U031,R044,3,0.525,12.0,64.0,0,0.5129
U031,R117,4,0.623,30.0,74.0,0,0.6928
U031,R094,1,0.54,22.0,66.0,0,0.417
U031,R102,2,0.598,26.0,43.0,0,0.47
U031,R085,3,0.643,18.0,77.0,0,0.5902
U031,R098,3,0.828,21.0,79.0,1,0.6514
U031,R013,5,0.611,6.0,78.0,0,0.6806
U031,R088,1,0.637,27.0,62.0,0,0.4514
U031,R118,5,0.604,28.0,74.0,0,0.7508
U031,R043,2,0.49,17.0,64.0,0,0.4523
U031,R049,3,0.558,27.0,72.0,0,0.5917
U031,R090,4,0.751,37.0,69.0,1,0.7403
U031,R095,4,0.43,16.0,53.0,0,0.5517
U031,R041,2,0.542,23.0,72.0,0,0.5031
U031,R047,1,0.854,12.0,78.0,1,0.4831
U032,R011,1,0.36,4.0,100.0,0,0.3745
U032,R058,4,0.562,25.0,87.0,0,0.6854
U032,R050,1,0.571,23.0,82.0,0,0.4604
U032,R042,5,0.493,12.0,97.0,0,0.7109
U032,R102,4,0.577,20.0,100.0,0,0.697
U032,R114,1,0.271,4.0,88.0,0,0.3283
U032,R112,5,0.748,39.0,90.0,1,0.8588
U032,R083,3,0.618,21.0,95.0,0,0.6309
U032,R013,5,0.727,14.0,100.0,1,0.7827
U032,R077,1,0.494,11.0,99.0,0,0.4315
U032,R115,2,0.597,13.0,85.0,0,0.5065
U032,R044,2,0.516,29.0,100.0,0,0.5745
U032,R090,1,0.651,38.0,100.0,0,0.5709
U032,R055,2,0.473,11.0,100.0,0,0.4982
U032,R081,1,0.663,8.0,81.0,0,0.4268
U032,R105,2,0.695,4.0,90.0,0,0.5083
U032,R054,3,0.573,15.0,100.0,0,0.6078
U033,R011,2,0.889,15.0,89.0,1,0.5948
U033,R055,5,0.662,9.0,79.0,1,0.7062
U033,R034,4,0.729,34.0,72.0,1,0.7299
U033,R023,1,0.792,33.0,73.0,1,0.534
U033,R084,1,0.758,35.0,68.0,1,0.5228
U033,R099,1,0.517,17.0,72.0,0,0.4051
U033,R094,5,0.671,9.0,59.0,1,0.6685
U033,R073,1,0.517,23.0,94.0,0,0.4709
U033,R020,3,0.454,11.0,81.0,0,0.5255
U033,R056,4,0.599,20.0,86.0,0,0.6745
U033,R101,1,0.601,29.0,65.0,0,0.4557
U033,R033,2,0.582,37.0,80.0,0,0.58
U033,R082,3,0.575,24.0,64.0,0,0.569
U033,R053,2,0.72,24.0,89.0,0,0.5853
U033,R068,5,0.6,17.0,65.0,0,0.6918
U033,R088,5,0.54,22.0,73.0,0,0.711
U033,R049,4,0.619,25.0,71.0,0,0.6677
